state_code,state_name,district_code,district_name,mukim_code,mukim_name,mukim_id
02,KEDAH,11,PENDANG,02,BUKIT RAYA,1030000936
02,KEDAH,12,POKOK SENA,04,GAJAH MATI,1030001860
02,KEDAH,12,POKOK SENA,05,JABI,1030000674
02,KEDAH,05,KUALA MUDA,70,PEKAN BUKIT SELAMBAU,1030000914
02,KEDAH,05,KUALA MUDA,16,TELOI KIRI,1030000910
02,KEDAH,04,LANGKAWI,06,ULU MELAKA,1030001471
02,KEDAH,08,BALING,72,PEKAN KAMPUNG BARU KEJAI,1030000921
02,KEDAH,09,KULIM,41,BANDAR LUNAS,1030000996
02,KEDAH,09,KULIM,42,BANDAR PADANG SERAI,1030000997
02,KEDAH,10,BANDAR BAHARU,41,BANDAR SERDANG,1030000934
02,KEDAH,11,PENDANG,40,BANDAR PENDANG,1030000858
02,KEDAH,12,POKOK SENA,40,BANDAR POKOK SENA,1030000945
02,KEDAH,01,KOTA SETAR,09,GUNONG,1030001861
02,KEDAH,02,KUBANG PASU,04,GELONG,1030000883
02,KEDAH,02,KUBANG PASU,19,TEMIN,1030000890
02,KEDAH,03,PADANG TERAP,03,BELIMBING KANAN,1030000897
02,KEDAH,03,PADANG TERAP,06,PADANG TEMAK,1030000898
02,KEDAH,03,PADANG TERAP,02,BATANG TUNGGANG KIRI,1030000983
02,KEDAH,04,LANGKAWI,05,PADANG MAT SIRAT,1030001473
02,KEDAH,02,KUBANG PASU,89,PEKAN KERPAN,1030001581
02,KEDAH,03,PADANG TERAP,40,BANDAR KUALA NERANG,1030000847
02,KEDAH,05,KUALA MUDA,40,BANDAR BEDONG,1030000911
02,KEDAH,05,KUALA MUDA,41,BANDAR GURUN,1030000912
02,KEDAH,05,KUALA MUDA,48,BANDAR TIKAM BATU,1030000913
02,KEDAH,05,KUALA MUDA,49,BANDAR MERBOK,1030000954
02,KEDAH,05,KUALA MUDA,50,BANDAR SEMELING,1030000955
02,KEDAH,06,YAN,40,BANDAR GUAR CEMPEDAK,1030000916
02,KEDAH,03,PADANG TERAP,71,PEKAN DURIAN BURUNG,1030000865
02,KEDAH,03,PADANG TERAP,08,PADANG TERAP KIRI,1030000899
02,KEDAH,04,LANGKAWI,72,PEKAN TELOK DATAI,1030001469
02,KEDAH,01,KOTA SETAR,40,BANDAR ALOR SETAR,1030000878
02,KEDAH,01,KOTA SETAR,41,BANDAR ANAK BUKIT,1030000879
02,KEDAH,01,KOTA SETAR,47,BANDAR ALOR MERAH,1030000870
02,KEDAH,01,KOTA SETAR,49,BANDAR LANGGAR,1030000869
02,KEDAH,07,SIK,74,PEKAN GAJAH PUTEH,1030000958
02,KEDAH,11,PENDANG,01,AYER PUTEH,1030000855
02,KEDAH,11,PENDANG,70,PEKAN BUKIT JENUN,1030000941
02,KEDAH,02,KUBANG PASU,90,PEKAN SINTOK,1030000947
02,KEDAH,07,SIK,03,SOK,1030000982
02,KEDAH,03,PADANG TERAP,09,PEDU,1030000900
02,KEDAH,03,PADANG TERAP,01,BATANG TUNGGANG KANAN,1030000845
02,KEDAH,07,SIK,73,PEKAN GULAU,1030000957
02,KEDAH,08,BALING,79,PEKAN KAMPUNG LALANG,1030000961
02,KEDAH,07,SIK,02,SIK,1030000970
02,KEDAH,07,SIK,01,JENERI,1030000917
02,KEDAH,11,PENDANG,05,PADANG PELIANG,1030000856
02,KEDAH,08,BALING,78,PEKAN PARIT PANJANG,1030000960
02,KEDAH,08,BALING,08,TELOI KANAN,1030000851
02,KEDAH,08,BALING,75,PEKAN TAWAR,1030000972
02,KEDAH,08,BALING,07,TAWAR,1030000971
02,KEDAH,09,KULIM,05,KULIM,1030000924
02,KEDAH,09,KULIM,11,SEDIM,1030000927
02,KEDAH,06,YAN,71,PEKAN SIMPANG TIGA SUNGAI LIMAU,1030000850
02,KEDAH,07,SIK,75,PEKAN CHAROK PADANG,1030000959
02,KEDAH,07,SIK,40,BANDAR SIK,1030000918
02,KEDAH,07,SIK,70,PEKAN BATU LIMA SIK,1030000975
02,KEDAH,06,YAN,74,PEKAN TEROI,1030000967
02,KEDAH,09,KULIM,75,PEKAN SUNGAI KARANGAN,1030000933
02,KEDAH,05,KUALA MUDA,14,SUNGAI PASIR,1030000909
02,KEDAH,05,KUALA MUDA,71,PEKAN JENIANG,1030000915
02,KEDAH,09,KULIM,72,PEKAN LABU BESAR,1030000931
02,KEDAH,09,KULIM,01,BAGAN SENA,1030000976
02,KEDAH,09,KULIM,76,PEKAN SUNGAI KOB,1030000854
02,KEDAH,09,KULIM,09,PADANG CHINA,1030000925
02,KEDAH,09,KULIM,03,KARANGAN,1030000923
02,KEDAH,10,BANDAR BAHARU,70,PEKAN LUBUK BUNTAR,1030000935
