sublocality_id,state_id,state_name,sub_locality_name
133,1,JOHOR,BANDAR PUTERA INDAH
134,1,JOHOR,BANDAR PUTRA
135,1,JOHOR,BANDAR PUTRA IOI
136,1,JOHOR,BANDAR PUTRA KULAI
137,1,JOHOR,BANDAR SEBERANG
138,1,JOHOR,BANDAR SEGAMAT
139,1,JOHOR,BANDAR SEGAMAT BARU
140,1,JOHOR,BANDAR SELESA JAYA
141,1,JOHOR,BANDAR SERI ALAM
142,1,JOHOR,BANDAR SERI IMPIAN
143,1,JOHOR,BANDAR SRI ALAM
144,1,JOHOR,BANDAR SRI IMPIAN
145,1,JOHOR,BANDAR SRI PERANI
146,1,JOHOR,BANDAR TENANG
147,1,JOHOR,BANDAR TENGGARA
148,1,JOHOR,BANDAR TEPIAN SUNGAI
149,1,JOHOR,BANDAR TEPIAN SUNGAI 2
150,1,JOHOR,BANDAR TEPIAN SUNGAI MERSING
151,1,JOHOR,BANDAR TIRAM
152,1,JOHOR,BANDAR TIRAM 2
153,1,JOHOR,BANDAR UDA UTAMA
154,1,JOHOR,BANDAR UNIVERSITI PAGOH
155,1,JOHOR,BANDAR UTAMA
156,1,JOHOR,BANDARAYA JOHOR BAHRU
157,1,JOHOR,BANDARPURA KENCANA
158,1,JOHOR,BANGUNAN AKED BANDAR TANGKAK
159,1,JOHOR,BANGUNAN SIN KEONG
160,1,JOHOR,BAREK POLIS
161,1,JOHOR,BARTU PAHAT
162,1,JOHOR,BATALION 6 PASUKAN GERAKAN AM
163,1,JOHOR,BATALION 6 PGA BAKRI
164,1,JOHOR,BATU
165,1,JOHOR,BATU 1
166,1,JOHOR,BATU 1 1 2
167,1,JOHOR,BATU 1 1 4
168,1,JOHOR,BATU 1 1 4 TANJUNG AGAS
169,1,JOHOR,BATU 1 2
170,1,JOHOR,BATU 1 3 4
171,1,JOHOR,BATU 1 3 4 JALAN BULOH KASAP
172,1,JOHOR,BATU 1 TANJUNG AGAS
173,1,JOHOR,BATU 10
174,1,JOHOR,BATU 10 SKUDAI
175,1,JOHOR,BATU 10 TAMAN SKUDAI
176,1,JOHOR,BATU 11
177,1,JOHOR,BATU 11 1 2
178,1,JOHOR,BATU 11 2 OFF KAMPUNG PARIT SAKAI TENGAH
179,1,JOHOR,BATU 13 1 2
180,1,JOHOR,BATU 14 1 2
181,1,JOHOR,BATU 14 3 4
182,1,JOHOR,BATU 15
183,1,JOHOR,BATU 15 1 2
184,1,JOHOR,BATU 16
185,1,JOHOR,BATU 16 1 2
186,1,JOHOR,BATU 16 1 2 SENGKANG
187,1,JOHOR,BATU 16 3 4
188,1,JOHOR,BATU 16 3 4 SALENG
189,1,JOHOR,BATU 17
190,1,JOHOR,BATU 17 1 2
191,1,JOHOR,BATU 17 1 2 PARIT SEMARANG
192,1,JOHOR,BATU 17 1 4
193,1,JOHOR,BATU 17 3 4
194,1,JOHOR,BATU 17 OFF KAMPUNG PAYAMAS
195,1,JOHOR,BATU 17 SENAI
196,1,JOHOR,BATU 18
197,1,JOHOR,BATU 18 1 14
198,1,JOHOR,BATU 18 1 2
199,1,JOHOR,BATU 18 1 4 OFF KAMPUNG PAYAMAS
200,1,JOHOR,BATU 18 3 4 OFF KAMPUNG PAYAMAS
201,1,JOHOR,BATU 18 AIR HITAM
202,1,JOHOR,BATU 18 AYER HITAM
203,1,JOHOR,BATU 18 KAMPUNG SUNGAI TIRAM
204,1,JOHOR,BATU 18 OFF KAMPUNG PAYAMAS
205,1,JOHOR,BATU 19
206,1,JOHOR,BATU 19 KAMPUNG PAYA REDAN
207,1,JOHOR,BATU 2
208,1,JOHOR,BATU 2 1 2
209,1,JOHOR,BATU 2 1 2 PARIT BETING
210,1,JOHOR,BATU 2 3 4
211,1,JOHOR,BATU 2 3 4 TAMAN TASIK MERDEKA
212,1,JOHOR,BATU 2 JALAN MUAR
213,1,JOHOR,BATU 2 JALAN PERSERAI
214,1,JOHOR,BATU 2 KAMPUNG PARIT KEROMA
215,1,JOHOR,BATU 2 PARIT KEROMA
216,1,JOHOR,BATU 2 PEKAN JABI
217,1,JOHOR,BATU 20
218,1,JOHOR,BATU 21
219,1,JOHOR,BATU 23
220,1,JOHOR,BATU 23 1 2
221,1,JOHOR,BATU 23 4 TAMAN TASIK MERDEKA
222,1,JOHOR,BATU 24
223,1,JOHOR,BATU 24 KULAI
224,1,JOHOR,BATU 26
225,1,JOHOR,BATU 26 1 2
226,1,JOHOR,BATU 26 JALAN AYER HITAM
227,1,JOHOR,BATU 27 KAMPUNG RAHMAT
228,1,JOHOR,BATU 28
229,1,JOHOR,BATU 28 LENGA
230,1,JOHOR,BATU 3
231,1,JOHOR,BATU 3 1 2
232,1,JOHOR,BATU 3 1 2 JALAN BAKRI
233,1,JOHOR,BATU 3 1 2 PARIT BILAL
234,1,JOHOR,BATU 3 1 4
235,1,JOHOR,BATU 3 4
236,1,JOHOR,BATU 3 JALAN KLUANG
237,1,JOHOR,BATU 3 KAMPUNG JAWA
238,1,JOHOR,BATU 3 PARIT BETING
239,1,JOHOR,BATU 3 PARIT RAJA
240,1,JOHOR,BATU 30 LENGA
241,1,JOHOR,BATU 31
242,1,JOHOR,BATU 33 1 2 BUKIT BATU
243,1,JOHOR,BATU 34
244,1,JOHOR,BATU 34 1 2 BUKIT BATU
245,1,JOHOR,BATU 34 3 4
246,1,JOHOR,BATU 35
247,1,JOHOR,BATU 35 1 2
248,1,JOHOR,BATU 35 1 2 JALAN JOHOR
249,1,JOHOR,BATU 36
250,1,JOHOR,BATU 36 JALAN JOHOR
251,1,JOHOR,BATU 38 KAMPUNG RIMBA TERJUN
252,1,JOHOR,BATU 39 1 4
253,1,JOHOR,BATU 4
254,1,JOHOR,BATU 4 1 2
255,1,JOHOR,BATU 4 1 2 KAMPUNG MENGKIBOL
256,1,JOHOR,BATU 4 1 2 TAMPOI
257,1,JOHOR,BATU 4 1 4 TANJUNG GADING
258,1,JOHOR,BATU 4 JALAN BAKRI
259,1,JOHOR,BATU 4 KAMPUNG BUKIT LINTANG
260,1,JOHOR,BATU 4 PARIT BUNGA
261,1,JOHOR,BATU 41 2 JALAN KLUANG
262,1,JOHOR,BATU 45
263,1,JOHOR,BATU 48
264,1,JOHOR,BATU 5
265,1,JOHOR,BATU 5 1 2
266,1,JOHOR,BATU 5 3 4
267,1,JOHOR,BATU 5 BAKRI
268,1,JOHOR,BATU 54
269,1,JOHOR,BATU 54 3 4
270,1,JOHOR,BATU 55
271,1,JOHOR,BATU 56
272,1,JOHOR,BATU 56 1 2
273,1,JOHOR,BATU 57
274,1,JOHOR,BATU 6
275,1,JOHOR,BATU 6 1 2
276,1,JOHOR,BATU 6 3 4
277,1,JOHOR,BATU 6 KAMPUNG SAYANG
278,1,JOHOR,BATU 6 SRI LALANG
279,1,JOHOR,BATU 6 TANJUNG LABOH
280,1,JOHOR,BATU 7
281,1,JOHOR,BATU 7 1 2
282,1,JOHOR,BATU 7 1 4 KAMPUNG PARIT SIMIN SEMERAH
283,1,JOHOR,BATU 7 3 4
284,1,JOHOR,BATU 7 TAMAN PANDAN
